task_id,assert_statement,result
CPP_126,assert (is_sorted({5}) == true);,pass
CPP_126,"assert (is_sorted({1, 2, 3, 4, 5}) == true);",pass
CPP_126,"assert (is_sorted({1, 3, 2, 4, 5}) == false);",fail
CPP_126,"assert (is_sorted({1, 2, 3, 4, 5, 6}) == true);",fail
CPP_126,"assert (is_sorted({1, 2, 3, 4, 5, 6, 7}) == true);",pass
CPP_126,"assert (is_sorted({1, 3, 2, 4, 5, 6, 7}) == false);",fail
CPP_126,assert (is_sorted({}) == true);,fail
CPP_126,assert (is_sorted({1}) == true);,pass
CPP_126,"assert (is_sorted({3, 2, 1}) == false);",pass
CPP_126,"assert (is_sorted({1, 2, 2, 2, 3, 4}) == false);",fail
CPP_126,"assert (is_sorted({1, 2, 3, 3, 3, 4}) == false);",pass
CPP_126,"assert (is_sorted({1, 2, 2, 3, 3, 4}) == true);",fail
CPP_126,"assert (is_sorted({1, 2, 3, 4}) == true);",pass
