filename,correct_nodes,missing_nodes,extra_nodes,correct_edges,missing_edges,extra_edges,precision,recall,f1_score
CPP_117.dot,9,6,3,5,13,5,0.6363636363636364,0.42424242424242425,0.5090909090909091
CPP_22.dot,17,23,2,0,67,0,0.8947368421052632,0.1588785046728972,0.2698412698412698
CPP_118.dot,6,0,2,4,0,2,0.7142857142857143,1.0,0.8333333333333333
CPP_154.dot,8,1,3,6,1,3,0.7,0.875,0.7777777777777777
CPP_73.dot,1,0,0,0,0,0,1.0,1.0,1.0
CPP_18.dot,9,1,0,6,2,0,1.0,0.8333333333333334,0.9090909090909091
CPP_40.dot,3,0,0,1,0,0,1.0,1.0,1.0
CPP_54.dot,1,0,2,0,0,1,0.25,1.0,0.4
CPP_105.dot,15,13,3,8,37,8,0.6764705882352942,0.3150684931506849,0.42990654205607476
CPP_30.dot,5,0,3,3,0,3,0.5714285714285714,1.0,0.7272727272727273
CPP_158.dot,7,1,4,5,1,3,0.631578947368421,0.8571428571428571,0.7272727272727273
CPP_9.dot,5,0,2,3,0,2,0.6666666666666666,1.0,0.8
CPP_104.dot,8,3,2,3,6,5,0.6111111111111112,0.55,0.5789473684210527
CPP_26.dot,5,0,2,3,0,2,0.6666666666666666,1.0,0.8
CPP_85.dot,3,0,0,1,0,0,1.0,1.0,1.0
CPP_44.dot,10,1,3,5,6,4,0.6818181818181818,0.6818181818181818,0.6818181818181818
CPP_23.dot,1,0,0,0,0,0,1.0,1.0,1.0
CPP_121.dot,4,0,0,2,0,0,1.0,1.0,1.0
CPP_134.dot,1,0,0,0,0,0,1.0,1.0,1.0
CPP_61.dot,1,0,0,0,0,0,1.0,1.0,1.0
CPP_68.dot,8,0,2,6,0,2,0.7777777777777778,1.0,0.8750000000000001
CPP_60.dot,1,0,0,0,0,0,1.0,1.0,1.0
CPP_128.dot,4,0,0,2,0,0,1.0,1.0,1.0
CPP_72.dot,3,0,0,1,0,0,1.0,1.0,1.0
CPP_12.dot,3,0,1,1,0,1,0.6666666666666666,1.0,0.8
CPP_1.dot,9,5,2,6,11,3,0.75,0.4838709677419355,0.5882352941176471
CPP_55.dot,4,0,0,2,0,0,1.0,1.0,1.0
CPP_95.dot,8,0,0,6,0,0,1.0,1.0,1.0
CPP_88.dot,8,3,2,4,7,1,0.8,0.5454545454545454,0.6486486486486486
CPP_77.dot,3,0,0,1,0,0,1.0,1.0,1.0
CPP_96.dot,5,0,2,3,0,2,0.6666666666666666,1.0,0.8
CPP_114.dot,1,0,0,0,0,0,1.0,1.0,1.0
CPP_127.dot,3,0,1,1,0,1,0.6666666666666666,1.0,0.8
CPP_7.dot,11,4,4,4,13,9,0.5357142857142857,0.46875,0.5
CPP_122.dot,3,0,0,1,0,0,1.0,1.0,1.0
CPP_65.dot,9,2,4,4,7,6,0.5652173913043478,0.5909090909090909,0.5777777777777778
CPP_153.dot,7,1,4,5,1,4,0.6,0.8571428571428571,0.7058823529411764
CPP_13.dot,1,0,0,0,0,0,1.0,1.0,1.0
CPP_81.dot,8,3,1,4,7,1,0.8571428571428571,0.5454545454545454,0.6666666666666665
CPP_103.dot,9,2,3,3,8,6,0.5714285714285714,0.5454545454545454,0.5581395348837208
CPP_102.dot,1,0,0,0,0,0,1.0,1.0,1.0
CPP_112.dot,10,3,5,6,9,7,0.5714285714285714,0.5714285714285714,0.5714285714285714
CPP_140.dot,6,1,4,4,1,4,0.5555555555555556,0.8333333333333334,0.6666666666666667
CPP_86.dot,9,3,2,0,11,0,0.8181818181818182,0.391304347826087,0.5294117647058824
CPP_49.dot,1,0,0,0,0,0,1.0,1.0,1.0
CPP_97.dot,3,0,0,1,0,0,1.0,1.0,1.0
CPP_149.dot,16,10,1,4,51,5,0.7692307692307693,0.24691358024691357,0.37383177570093457
CPP_98.dot,5,0,1,3,0,1,0.8,1.0,0.888888888888889
CPP_58.dot,9,2,2,0,9,3,0.6428571428571429,0.45,0.5294117647058824
CPP_59.dot,1,0,0,0,0,0,1.0,1.0,1.0
CPP_93.dot,7,0,2,5,0,2,0.75,1.0,0.8571428571428571
CPP_53.dot,1,0,0,0,0,0,1.0,1.0,1.0
CPP_116.dot,6,0,2,4,0,2,0.7142857142857143,1.0,0.8333333333333333
CPP_124.dot,9,0,0,7,0,0,1.0,1.0,1.0
CPP_25.dot,5,0,2,3,0,2,0.6666666666666666,1.0,0.8
CPP_48.dot,7,0,0,5,0,0,1.0,1.0,1.0
CPP_20.dot,9,0,1,7,0,1,0.8888888888888888,1.0,0.9411764705882353
CPP_113.dot,13,7,3,6,19,7,0.6551724137931034,0.4222222222222222,0.5135135135135135
CPP_38.dot,7,1,4,8,2,8,0.5555555555555556,0.8333333333333334,0.6666666666666667
CPP_8.dot,7,0,1,5,0,1,0.8571428571428571,1.0,0.923076923076923
CPP_11.dot,3,0,2,1,0,2,0.5,1.0,0.6666666666666666
CPP_45.dot,1,0,0,0,0,0,1.0,1.0,1.0
CPP_94.dot,5,7,1,2,10,2,0.7,0.2916666666666667,0.4117647058823529
CPP_27.dot,6,1,2,4,1,2,0.7142857142857143,0.8333333333333334,0.7692307692307692
CPP_139.dot,1,0,0,0,0,0,1.0,1.0,1.0
CPP_63.dot,4,0,0,2,0,0,1.0,1.0,1.0
CPP_107.dot,13,0,1,7,6,5,0.7692307692307693,0.7692307692307693,0.7692307692307693
CPP_37.dot,7,4,3,1,8,5,0.5,0.4,0.4444444444444445
CPP_70.dot,7,4,2,5,6,2,0.75,0.5454545454545454,0.631578947368421
CPP_24.dot,1,0,0,0,0,0,1.0,1.0,1.0
CPP_69.dot,11,0,1,6,5,2,0.85,0.7727272727272727,0.8095238095238095
CPP_29.dot,15,1,3,8,11,8,0.6764705882352942,0.6571428571428571,0.6666666666666666
CPP_4.dot,4,0,0,2,0,0,1.0,1.0,1.0
CPP_115.dot,4,0,0,2,0,0,1.0,1.0,1.0
CPP_36.dot,1,0,0,0,0,0,1.0,1.0,1.0
CPP_89.dot,7,0,2,5,0,2,0.75,1.0,0.8571428571428571
CPP_161.dot,7,0,2,5,0,2,0.75,1.0,0.8571428571428571
CPP_75.dot,1,0,0,0,0,0,1.0,1.0,1.0
CPP_43.dot,3,0,0,1,0,0,1.0,1.0,1.0
CPP_56.dot,1,0,0,0,0,0,1.0,1.0,1.0
CPP_132.dot,1,0,0,0,0,0,1.0,1.0,1.0
CPP_57.dot,1,0,0,0,0,0,1.0,1.0,1.0
CPP_143.dot,7,3,5,4,4,5,0.5238095238095238,0.6111111111111112,0.5641025641025642
CPP_137.dot,21,27,4,6,77,16,0.574468085106383,0.20610687022900764,0.30337078651685395
CPP_6.dot,7,0,3,5,0,3,0.6666666666666666,1.0,0.8
CPP_39.dot,3,0,0,1,0,0,1.0,1.0,1.0
CPP_71.dot,3,0,0,1,0,0,1.0,1.0,1.0
CPP_17.dot,10,0,6,8,0,6,0.6,1.0,0.7499999999999999
CPP_64.dot,5,0,1,3,0,1,0.8,1.0,0.888888888888889
CPP_111.dot,15,2,0,2,16,3,0.85,0.4857142857142857,0.6181818181818183
CPP_157.dot,3,0,0,1,0,0,1.0,1.0,1.0
CPP_150.dot,1,0,0,0,0,0,1.0,1.0,1.0
CPP_35.dot,3,0,0,1,0,0,1.0,1.0,1.0
CPP_126.dot,1,0,0,0,0,0,1.0,1.0,1.0
CPP_109.dot,3,0,0,1,0,0,1.0,1.0,1.0
CPP_135.dot,3,0,0,1,0,0,1.0,1.0,1.0
CPP_76.dot,1,0,0,0,0,0,1.0,1.0,1.0
