assert_statement,result,comments
"assert (match_parens({""()("", "")""}) == ""Yes"");",Fail,Failed to parse the assert statement
"assert (match_parens({"")"", "")""}) == ""No"");",Fail,Failed to parse the assert statement
"assert (match_parens({""(()(())"", ""())())""}) == ""No"");",Fail,Failed to parse the assert statement
"assert (match_parens({"")())"", ""(()()(""}) == ""Yes"");",Fail,Failed to parse the assert statement
"assert (match_parens({""(())))"", ""(()())((""}) == ""Yes"");",Fail,Failed to parse the assert statement
"assert (match_parens({""()"", ""())""}) == ""No"");",Fail,Failed to parse the assert statement
"assert (match_parens({""(()("", ""()))()""}) == ""Yes"");",Fail,Failed to parse the assert statement
"assert (match_parens({""(((("", ""((())""}) == ""No"");",Fail,Failed to parse the assert statement
"assert (match_parens({"")(()"", ""(()(""}) == ""No"");",Fail,Failed to parse the assert statement
"assert (match_parens({"")("", "")(""}) == ""No"");",Fail,Failed to parse the assert statement
"assert (match_parens({""("", "")""}) == ""Yes"");",Fail,Failed to parse the assert statement
"assert (match_parens({"")"", ""(""}) == ""Yes"" );",Fail,Failed to parse the assert statement
