Filename,Token Length
ChocolateFeast.bc,13215
StockMaximize.bc,17967
SherlockAndGCD.bc,14964
PrimeNumberandQueries.bc,18201
MakeAnagram.bc,20468
MutualIndivisibility.bc,9031
LEGOs.bc,14639
FunnyString.bc,21002
FindDigits.bc,13341
BreakingSticks.bc,13392
LinkedListCycle.bc,20259
EruptingVolcanoes.bc,18681
counting_sort2.bc,11326
HalloweenParty.bc,12130
MaximizingXOR.bc,10118
NumberGroups.bc,10622
PythagoreanTriple.bc,11577
SherlockAndSquares.bc,13790
TriangleNumbers.bc,15592
ConstructaNumber.bc,15937
ExtraLongFactorials.bc,14377
ProjectEulerMultiple3and5.bc,9549
SequenceEquation.bc,13365
UtopianTree.bc,12328
TheChosenOne.bc,14490
Service_lane.bc,15391
AngryProfessor.bc,15935
SansaXor.bc,11620
LuckyPurchase.bc,17476
StockPurchaseDay.bc,16067
CutTheSticks.bc,16101
BoatTrips.bc,9594
MinimumEdgesinaLayeredGraph.bc,17953
GemStones.bc,12193
ConstructtheArray.bc,13251
MinimumHeightTriangle.bc,12155
