assert_statement,result,comments
"assert (file_name_check(""example.txt"") == ""Yes"");",Fail,Failed to parse the assert statement
"assert (file_name_check(""1example.dll"") == ""No"");",Fail,Failed to parse the assert statement
"assert (file_name_check(""s1sdf3.asd"") == ""No"");",Fail,Failed to parse the assert statement
"assert (file_name_check(""K.dll"") == ""Yes"");",Fail,Failed to parse the assert statement
"assert (file_name_check(""MY16FILE3.exe"") == ""Yes"");",Fail,Failed to parse the assert statement
"assert (file_name_check(""His12FILE94.exe"") == ""No"");",Fail,Failed to parse the assert statement
"assert (file_name_check(""_Y.txt"") == ""No"");",Fail,Failed to parse the assert statement
"assert (file_name_check(""?aREYA.exe"") == ""No"");",Fail,Failed to parse the assert statement
"assert (file_name_check(""/this_is_valid.dll"") == ""No"");",Fail,Failed to parse the assert statement
"assert (file_name_check(""this_is_valid.wow"") == ""No"");",Fail,Failed to parse the assert statement
"assert (file_name_check(""this_is_valid.txt"") == ""Yes"");",Fail,Failed to parse the assert statement
"assert (file_name_check(""this_is_valid.txtexe"") == ""No"");",Fail,Failed to parse the assert statement
"assert (file_name_check(""#this2_i4s_5valid.ten"") == ""No"");",Fail,Failed to parse the assert statement
"assert (file_name_check(""@this1_is6_valid.exe"") == ""No"");",Fail,Failed to parse the assert statement
"assert (file_name_check(""this_is_12valid.6exe4.txt"") == ""No"");",Fail,Failed to parse the assert statement
"assert (file_name_check(""all.exe.txt"") == ""No"");",Fail,Failed to parse the assert statement
"assert (file_name_check(""I563_No.exe"") == ""Yes"");",Fail,Failed to parse the assert statement
"assert (file_name_check(""Is3youfault.txt"") == ""Yes"");",Fail,Failed to parse the assert statement
"assert (file_name_check(""no_one#knows.dll"") == ""Yes"");",Fail,Failed to parse the assert statement
"assert (file_name_check(""1I563_Yes3.exe"") == ""No"");",Fail,Failed to parse the assert statement
"assert (file_name_check(""I563_Yes3.txtt"") == ""No"");",Fail,Failed to parse the assert statement
"assert (file_name_check(""final..txt"") == ""No"");",Fail,Failed to parse the assert statement
"assert (file_name_check(""final132"") == ""No"");",Fail,Failed to parse the assert statement
"assert (file_name_check(""_f4indsartal132."") == ""No"");",Fail,Failed to parse the assert statement
"assert (file_name_check("".txt"") == ""No"");",Fail,Failed to parse the assert statement
"assert (file_name_check(""s."") == ""No"");",Fail,Failed to parse the assert statement
